job_id,combined_text,job_title
134316,"Lead Technical Analyst (14-01009) Global Technology Associates Troy Full-Time/Part-Time 
Title: Lead Technical Analyst (14-01009)
Location: Warren, MI
Pay Rate: $40 - $42/hr.
Type of hire: Contract&nbsp;
&nbsp;
Position Responsibility:
Interface with a variety of requesters and be able to clearly extract report requirements and deliver expectations according to tight deadlines
Prioritize and generate ad hoc and standard report requests from a variety of data warehouses and systems as needed
Analyze reports and documents to be able to develop methodology for various business requests with a focus on standardization and continuous improvement
Troubleshoot and resolve data and reporting concerns as necessary
Documentation of reporting requirements, procedures and business rules necessary to support the delivery of reporting&nbsp;


 Lead Technical Analyst (14-01009) @ Global Technology Associates",Lead Technical Analyst (14-01009) @ Global Technology Associates
134322,"Data Entry / File Clerk with Raiser's Edge OfficeTeam Fort Lauderdale Seasonal/Temp Ref ID: 01000-9714418Classification: Secretary/Admin AsstCompensation: $10.00 to $11.00 per hourOfficeTeam is looking for a Data Entry / File Clerk with Raiser's Edge experience. This Data Entry / File Clerk with Raiser's Edge experience will be responsible for attaching documents to per existing files. In addition, do to a recent merge in software programs, some data entry for content updates will be required. Raiser's Edge and Data Entry experience is a MUST. Data Entry / File Clerk with Raiser's Edge @ OfficeTeam",Data Entry / File Clerk with Raiser's Edge @ OfficeTeam
134323,"Data Entry Clerk OfficeTeam Columbus Seasonal/Temp Ref ID: 03350-124474Classification: Data EntryCompensation: $12.00 to $13.00 per hourData Entry Clerk needed for a manufacturing/production firm in downtown Columbus. Responsibilities will include heavy data entry, processing work orders and entering them into a proprietary system. This is an excellent opportunity for a growing firm in a possible temporary to full time opportunity. Please apply at www.officeteam.com or contact Nick Presutto at 614-471-5536 or [Click Here to Email Your Resumé] Data Entry Clerk @ OfficeTeam",Data Entry Clerk @ OfficeTeam
134344,"Part-time Data Management Associate DST Kansas City Part-Time Our Part-time Data Management Associates evaluate, verify, and process service requests from mutual fund product companies, institutions and third-party entities such as brokers and financial advisors.  Using DST’s industry leading technology, associates research, resolve, and respond to queries to process account updates and financial transactions.   Whether your goals are to pursue a career in operations or in management, at every stage you will be actively engaged in the financial services industry. You will leverage extensive in-house training programs for industry knowledge and product expertise, being a valuable contributor to ensure contractual obligations are achieved and providing exceptional customer experiences. Characteristics of Successful Candidates:• Stable work history and the ability to dependably work scheduled hours• Excellent written and verbal communication skills• Possesses  problem solving skills with strong attention to detail • Ability to accurately type 30+ words per minute• Ability to quickly learn and adapt to new systems, processes, and procedures • Is forward thinking and innovative with an ability to “think outside the box”• Once trained, able to complete work according to the service level expectations of our customers• Previous experience in mutual fund, banking or financial services in customer support or operational roles (preferred by not required) One of DST's most valuable assets is the dedication of its associates. We believe in our people and their potential, so we invest in their success. Our ability to attract and retain quality associates who deliver exceptional customer service means we are better at understanding our clients' business and their unique characteristics. We encourage our associates to develop original, creative solutions to meet the challenges of our internal operations and our large client base.    EEO Statement  Equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. Part-time Data Management Associate @ DST",Part-time Data Management Associate @ DST
134442,"Maintenance Engineer (FT TEMP) MGM Resorts International Las Vegas Seasonal/Temp Perform basic repairs associated with the plumbing system such as; replacement of shower bodies, setting plumbing fixtures, sweating copper fittings and pipe, cutting black pipe, replacing larger fittings and valves as necessary. Operate large drain augers/snake to clear plumbing blockages. Assist with any major plumbing projects.Perform basic electrical maintenance, repairs and replacements, if necessary, on building systems. Strong skills in troubleshooting both high and low-voltage systems. Able to work safely within high voltage cabinets and perform necessary repairs. Knowledge of phone and in-room entertainment systems will be required to perform trouble shooting and programming of the same.Perform maintenance on fan coils up to and including full replacement of unit.Perform maintenance on any of the equipment associated with the mechanical infrastructures throughout the facility.Report on a daily log, all operational conditions and work completed on their shift.Keep the Engineering Lead advised of work orders and/or projects that are currently being worked on, the scheduling, and materials needed. Also, keeps the Lead informed of any unusual conditions within the facility.Ensure that all equipment and work areas are kept clean, neat and orderly at all times.Keep informed and updated on current techniques and technical methods.Maintain a constant awareness of safety and accident prevention.Respond to all facility emergencies.Ensure all department paperwork is completed in a legible and readable condition.Notify upper management of any problems that arise within the department that require immediate attention.Maintain excellent working relationships with employees within the department and in other departments.Adhere to philosophy of team work and assisting where there is a business need in the hotel. Assist with cleaning in all Tower Services areas if necessary due to business needs. Perform other job related duties as assigned. Facilitates and/or assists with special projects as needed due to business needs.Perform other job related duties as assigned. Maintenance Engineer (FT TEMP) @ MGM Resorts International",Maintenance Engineer (FT TEMP) @ MGM Resorts International
134454,"Part-Time Data Collection Interviewer Convergys Erlanger Part-Time FLEXIBLE HOURS (EVENINGS/WEEKENDS) PERFECT FOR STUDENTS AND PT JOBSEEKERS!


$9/hr + .50/hr differential on Friday, Saturday and Sunday!!!!



Job Description:
Part-Time Data Collection Interviewers are responsible for making outbound calls to customers (households and businesses), and conducting market research studies/customer satisfaction surveys via the telephone to obtain product knowledge for clients. 

Principal Duties and Responsibilities:

    Conduct telephone interviews, using Computer Assisted Telephone Interviewing (CATI) system.
    Accurate documentation of sample dispositions using Sample Management System (SMS).
    Follow standard interviewing procedures established by Convergys Marketing Research and/or the client.
    Utilize proper probing and clarification techniques for open-ended questions.
    Perform additional specialized/clerical tasks as assigned by the Data Collection Manager 


Education & Professional Certifications: 
High School Diploma/GED Part-Time Data Collection Interviewer @ Convergys",Part-Time Data Collection Interviewer @ Convergys
134564,"CNC Programmer Trainee Dart Container Mason Part-Time Specific Duties: This position will work directly with CNC programmers to create and edit CNC programs using Nx Cam. Develop and maintain CNC machine language programs using various computer languages in support of manufacturing needs.Read, understand and utilize all part and assembly prints, spreadsheets, bills of material, specification sheets, and technical references.Develop new programs for production machinery and/or tooling components using the PC, and proofing the program by communicating with the machine operator to develop needed changes to assure production of a quality product.Perform complex trigonometric functions to calculate dimensions and tolerances.Utilize tools and equipment involved in performance of essential functions of programming including measuring instruments.Requirements and Qualifications:College level credits towards CNC Programming or Manufacturing Engineering.Ability to perform advanced college level math such as calculus and trigonometry. Familiarity with CAD/CAM, Nx, Unigraphics, and general machining.Hands on experience working with and operating CNC machining centers is preferred.A working knowledge of operating systems, applications, and languages, including CAD/CAM, Nx, and Unigraphics is preferred. CNC Programmer Trainee @ Dart Container",CNC Programmer Trainee @ Dart Container
136419,"Data Entry Clerk Accountemps Boston Seasonal/Temp Ref ID:02101-107569Classification:Data Entry ClerkCompensation:$11.88 to $13.75 per hourAccountemps is currently partnered with a Health Care center in Boston seeking a temporary Data Entry Clerk. The data entry clerk will be assisting with processing funds for the development department. The ideal individual for this data entry clerk position will have worked in a development or fund raising office coupled with experience working in Raizers Edge software. This Data entry clerk role will be a 3-6 week engagement starting as soon as possible. If you or anyone you know is looking to supplement their job search, please contact Colin at 617 951 4000 or email resume directly to [Click Here to Email Your Resumé] Data Entry Clerk @ Accountemps",Data Entry Clerk @ Accountemps
136554,"Data Entry Clerk OfficeTeam San Francisco Seasonal/Temp Ref ID: 04850-000460Classification: Data EntryCompensation: $13.57 to $13.57 per hourDescription/Comment: Pricing Specialist, Old Navy Pricing Execution Job Summary: The Pricing Specialist is a member of the Old Navy Pricing Execution team and is responsible for ensuring complete, accurate, and timely data entry for Promotional Events across various Pricing Execution systems. Description: Enter/maintain all promotional events in Pricing Tools for select division(s) Audit promotional events for potential conflicts across Pricing Tools and own resolution Audit promotional events to ensure compliance to marketed message Attend weekly Promotional Execution meetings (and any other meetings, as appropriate) to receive updates on promo execution timelines, strategies, etc. Help Pricing Execution team with event modification and auditing in support of changes to promotional strategy Resolve store pricing and signage issues as necessary Qualifications: Ability to multi-task in a fast paced environment Flexible and adaptive to changing priorities Proficient in MS Office; advanced skills in Excel Ability to identify priorities and execute with a sense of urgency Demonstrates logical analysis and problem solving skills, ability to be innovative and solution-oriented Able to build and maintain productive relationships with peers and cross-functional teams Retail experience preferred . Data Entry Clerk @ OfficeTeam",Data Entry Clerk @ OfficeTeam
136555,"Data Entry Specialist OfficeTeam Omaha Seasonal/Temp Ref ID: 02500-9714624Classification: Data EntryCompensation: DOEDo you have experience in Property Management? Office Team is currently working with a Property Management company who is in need of a knowledgeable and experienced professional. Looking for a Data entry specialist with knowledge of Property Management systems. This is a project based opportunity, that requires the candidate to navigate and transcribe between 2 different computer programs. Pay is determined by experience and knowledge. Data Entry Specialist @ OfficeTeam",Data Entry Specialist @ OfficeTeam
